City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
218,Tecoanapa,MX,84.69,broken clouds,16.5167,-98.75,Hotel Manglares
220,Bambous Virieux,MU,81.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
230,Manicore,BR,77.07,light rain,-5.8092,-61.3003,Hotel Durval
231,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
237,Puerto Escondido,MX,86.45,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
238,Pacific Grove,US,84.42,clear sky,36.6177,-121.9166,Lovers Point Inn
241,Grand Gaube,MU,81.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
242,Noumea,NC,85.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
249,Bac Lieu,VN,79.05,few clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
251,Nova Olimpia,BR,75.18,heavy intensity rain,-14.7972,-57.2881,Motel glamour
259,Lompoc,US,85.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
264,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
269,Katherine,AU,75.52,broken clouds,-14.4667,132.2667,Pine Tree Motel
270,Comodoro Rivadavia,AR,76.86,few clouds,-45.8667,-67.5,Austral Hotel
273,Huarmey,PE,75.74,clear sky,-10.0681,-78.1522,Hotel Miramar
277,Dom Pedrito,BR,75.45,clear sky,-30.9828,-54.6731,Hotel Alexandre
281,Vila Velha,BR,78.75,thunderstorm,-20.3297,-40.2925,Quality Suites Vila Velha
287,Trinidad,BO,84.18,broken clouds,-14.8333,-64.9,Hotel Piesta
296,Luziania,BR,78.49,broken clouds,-16.2525,-47.9503,HOTEL SARON
300,Tiarei,PF,87.82,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
301,Puerto Leguizamo,CO,81.9,overcast clouds,-0.1934,-74.7819,la casona de juancho
303,Arraial Do Cabo,BR,78.76,few clouds,-22.9661,-42.0278,Pousada Porto Praia
304,Ipixuna,BR,82.35,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
305,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
306,Saint-Joseph,RE,77.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
312,Pilar,BR,80.53,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
315,Bauta,CU,75.09,broken clouds,22.9828,-82.5464,El Refugio
317,Natal,BR,83.05,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
320,Meulaboh,ID,76.26,overcast clouds,4.1363,96.1285,Kost Pria
321,Ca Mau,VN,77.32,few clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
328,Biak,ID,75.18,overcast clouds,-0.9131,122.8766,Penginapan Kim
329,Kavieng,PG,82.08,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
331,Luanda,AO,78.8,clear sky,-8.8368,13.2343,Hotel Fórum
