City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Saint-Philippe,RE,-21.3585,55.7679,80.19,88,40,11.01,scattered clouds
152,Kurchum,KZ,48.5722,83.6542,13.08,93,100,2.24,overcast clouds
153,Saint George,US,37.1041,-113.5841,72.07,15,0,1.01,clear sky
154,San Policarpo,PH,12.1791,125.5072,78.64,80,99,10.31,overcast clouds
155,Ligayan,PH,4.6533,119.4706,81.88,76,99,10.94,overcast clouds
156,Yelan-Koleno,RU,51.1523,41.2306,14.31,91,16,8.25,few clouds
157,Black River,JM,18.0264,-77.8487,82.98,61,21,5.61,few clouds
158,Norman Wells,CA,65.282,-126.8329,-9.36,64,75,3.44,broken clouds
159,Charlestown,AU,-32.95,151.6667,73.72,76,94,1.99,overcast clouds
160,Barahona,DO,18.2085,-71.1008,84.02,74,20,13.8,few clouds
161,Esperance,AU,-33.8667,121.9,58.84,73,26,9.89,scattered clouds
162,Tazovskiy,RU,67.4667,78.7,-9.45,96,35,10.92,scattered clouds
163,Saysain,PH,14.5611,120.3925,78.17,87,72,7.58,broken clouds
164,Richards Bay,ZA,-28.783,32.0377,75.87,92,70,5.08,broken clouds
165,Dondo,MZ,-19.6094,34.7431,78.31,87,22,3.67,few clouds
166,Longyearbyen,SJ,78.2186,15.6401,15.64,92,75,3.44,light snow
167,Cabedelo,BR,-6.9811,-34.8339,83.07,77,9,11.27,clear sky
168,Qiongshan,CN,20.0058,110.3542,60.78,100,75,13.42,mist
169,Tutoia,BR,-2.7619,-42.2744,80.58,81,8,13.56,clear sky
170,Benguela,AO,-12.5763,13.4055,76.33,82,88,1.83,overcast clouds
171,Ola,RU,59.5833,151.2833,-7.35,79,70,10.16,broken clouds
172,Tabas,IR,33.5959,56.9244,47.82,46,0,9.35,clear sky
173,Bilibino,RU,68.0546,166.4372,-32.19,100,86,2.51,overcast clouds
174,Rocha,UY,-34.4833,-54.3333,63.09,62,4,10.0,clear sky
175,Roald,NO,62.5833,6.1333,39.11,93,75,16.11,broken clouds
176,Maceio,BR,-9.6658,-35.7353,81.84,69,0,12.66,clear sky
177,Nannilam,IN,10.8793,79.6106,72.1,84,13,4.79,few clouds
178,Upernavik,GL,72.7868,-56.1549,-5.93,97,100,13.91,overcast clouds
179,Dongsheng,CN,39.8161,109.9776,7.86,62,79,1.54,broken clouds
180,Oriximina,BR,-1.7656,-55.8661,79.86,79,86,0.69,overcast clouds
181,Kudahuvadhoo,MV,2.6708,72.8944,80.85,79,100,10.04,overcast clouds
182,Prince Rupert,CA,54.3161,-130.3201,50.09,66,100,14.97,light rain
183,Labuan,MY,5.2767,115.2417,78.96,94,20,0.0,few clouds
184,Potamia,GR,40.7163,24.7286,44.65,60,49,8.5,scattered clouds
185,Taoudenni,ML,22.6783,-3.9836,63.55,24,0,11.03,clear sky
186,Bardiyah,LY,31.7561,25.0865,55.54,69,0,6.46,clear sky
187,Klaksvik,FO,62.2266,-6.589,34.72,70,100,30.11,overcast clouds
188,Huangchuan,CN,32.1272,115.0394,38.73,85,32,1.16,scattered clouds
189,Havre-Saint-Pierre,CA,50.2334,-63.5986,5.0,65,0,11.5,clear sky
190,Lengshuitan,CN,26.4111,111.5956,39.94,89,77,2.33,broken clouds
191,Sandpoint,US,48.2766,-116.5533,49.55,60,0,3.0,clear sky
192,Pangody,RU,65.85,74.4859,-13.86,98,91,9.31,overcast clouds
193,Quatre Cocos,MU,-20.2078,57.7625,81.09,83,84,14.12,light rain
194,Provideniya,RU,64.3833,-173.3,-5.69,65,0,6.71,clear sky
195,Zemio,CF,5.0314,25.1361,78.64,25,85,5.39,overcast clouds
196,Yuli,NG,9.6989,10.2744,76.71,15,28,6.22,scattered clouds
197,Snyder,US,32.7179,-100.9176,64.54,14,0,4.61,clear sky
198,Thompson,CA,55.7435,-97.8558,-3.84,65,75,8.05,broken clouds
199,Luba,GQ,3.4568,8.5547,78.69,79,100,8.25,overcast clouds
200,San Patricio,US,28.017,-97.5169,66.61,22,19,5.73,few clouds
201,Kahului,US,20.8947,-156.47,78.96,67,40,14.97,scattered clouds
202,Mehriz,IR,31.5917,54.4318,39.7,51,0,3.67,clear sky
203,Aklavik,CA,68.2191,-135.0107,-22.97,96,100,6.35,light snow
204,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,15.78,57,75,8.95,broken clouds
205,Broome,US,42.2506,-75.833,22.62,63,100,11.5,overcast clouds
206,Isangel,VU,-19.55,169.2667,84.31,84,40,2.3,volcanic ash
207,Anzio,IT,41.4853,12.6179,53.31,92,88,6.51,overcast clouds
208,Arnedo,ES,42.2167,-2.1,49.5,69,100,8.72,overcast clouds
209,Ballina,AU,-28.8667,153.5667,68.04,96,100,8.05,overcast clouds
210,Balabac,PH,7.9868,117.0645,80.17,79,92,12.68,overcast clouds
211,Geraldton,AU,-28.7667,114.6,73.81,88,100,0.0,overcast clouds
212,Plettenberg Bay,ZA,-34.0527,23.3716,68.36,79,39,0.63,light rain
213,Istisu,AZ,40.9457,48.0738,30.87,97,96,4.45,light snow
214,Padang,ID,-0.9492,100.3543,76.19,82,99,4.36,overcast clouds
215,Srednekolymsk,RU,67.45,153.6833,-34.1,99,22,6.22,few clouds
216,Lakatoro,VU,-16.0999,167.4164,83.12,77,91,13.27,overcast clouds
217,Kariba,ZW,-16.5167,28.8,71.19,79,97,4.79,overcast clouds
218,Tecoanapa,MX,16.5167,-98.75,84.69,54,68,10.74,broken clouds
219,Karlskoga,SE,59.3267,14.5239,38.52,97,100,10.96,light rain
220,Bambous Virieux,MU,-20.3428,57.7575,81.21,89,75,11.5,broken clouds
221,Vostok,RU,46.4856,135.8833,1.47,99,100,0.69,overcast clouds
222,Boyolangu,ID,-8.1181,111.8935,74.35,93,100,2.89,moderate rain
223,Iwanai,JP,42.9744,140.5089,24.17,95,87,3.85,light snow
224,Caldas Novas,BR,-17.7417,-48.625,70.68,91,36,3.44,scattered clouds
225,Goundam,ML,16.4145,-3.6708,68.0,17,26,10.69,scattered clouds
226,Nioro,GM,13.35,-15.75,80.02,11,35,7.78,scattered clouds
227,Udachnyy,RU,66.4167,112.4,-22.11,93,74,1.83,broken clouds
228,Dariba,IN,24.95,74.1333,54.3,39,0,1.86,clear sky
229,Dingle,PH,10.9995,122.6711,73.98,94,96,6.51,overcast clouds
230,Manicore,BR,-5.8092,-61.3003,77.07,93,100,1.59,light rain
231,Carnarvon,AU,-24.8667,113.6333,77.07,88,3,0.0,clear sky
232,Saint-Francois,FR,46.4154,3.9054,48.67,65,0,17.27,clear sky
233,Muriwai Beach,NZ,-36.8167,174.45,71.42,71,22,7.27,few clouds
234,Seymchan,RU,62.8833,152.4333,-43.49,100,71,0.56,broken clouds
235,Garowe,SO,8.4054,48.4845,67.23,78,44,10.2,scattered clouds
236,Corum,TR,40.5,34.75,28.78,93,100,1.72,overcast clouds
237,Puerto Escondido,MX,15.85,-97.0667,86.45,51,76,6.22,broken clouds
238,Pacific Grove,US,36.6177,-121.9166,84.42,56,0,4.0,clear sky
239,Timra,SE,62.487,17.3257,31.68,93,14,3.44,fog
240,Goderich,CA,43.7501,-81.7165,15.91,79,100,3.44,snow
241,Grand Gaube,MU,-20.0064,57.6608,81.37,77,91,7.0,overcast clouds
242,Noumea,NC,-22.2763,166.4572,85.98,99,100,3.94,overcast clouds
243,Siderno,IT,38.2779,16.302,56.39,86,8,3.67,clear sky
244,Yar-Sale,RU,66.8333,70.8333,-16.06,97,100,8.57,overcast clouds
245,Belle Glade,US,26.6845,-80.6676,74.98,64,100,12.84,overcast clouds
246,Novosokolniki,RU,56.3463,30.1578,26.01,83,100,12.24,overcast clouds
247,Bethel,US,41.3712,-73.414,30.56,67,100,10.36,overcast clouds
248,Damietta,EG,31.4165,31.8133,57.09,72,0,9.51,clear sky
249,Bac Lieu,VN,9.285,105.7244,79.05,80,16,14.41,few clouds
250,Liverpool,GB,53.4106,-2.9779,46.69,90,40,6.91,scattered clouds
251,Nova Olimpia,BR,-14.7972,-57.2881,75.18,96,97,1.07,heavy intensity rain
252,Telsiai,LT,55.9814,22.2472,31.51,75,100,15.05,overcast clouds
253,Nishihara,JP,26.1842,127.7558,65.48,88,75,26.46,moderate rain
254,Odweyne,SO,9.4092,45.064,65.43,36,97,11.03,overcast clouds
255,Kysyl-Syr,RU,63.8986,122.7617,-28.68,100,99,0.6,overcast clouds
256,Kodiak,US,57.79,-152.4072,35.11,75,0,4.61,clear sky
257,Damaturu,NG,11.747,11.9608,70.5,15,33,8.93,scattered clouds
258,Shelburne,CA,44.0787,-80.2041,13.77,69,100,5.08,light snow
259,Lompoc,US,34.6391,-120.4579,85.78,33,0,11.5,clear sky
260,Hokitika,NZ,-42.7167,170.9667,60.6,49,7,1.74,clear sky
261,Swellendam,ZA,-34.0226,20.4417,66.58,86,82,11.68,broken clouds
262,Kawalu,ID,-7.3817,108.2082,72.07,95,100,1.63,overcast clouds
263,Chapais,CA,49.7834,-74.8492,-6.02,92,100,1.77,overcast clouds
264,Salalah,OM,17.0151,54.0924,77.09,23,0,19.57,clear sky
265,Teya,RU,60.3778,92.6267,-19.44,100,16,3.49,few clouds
266,Jesup,US,31.6074,-81.8854,65.89,39,0,12.66,clear sky
267,Dalmau,IN,26.0667,81.0333,52.32,62,0,2.08,clear sky
268,Farnham,GB,51.2143,-0.7959,50.29,81,75,19.57,moderate rain
269,Katherine,AU,-14.4667,132.2667,75.52,94,59,3.44,broken clouds
270,Comodoro Rivadavia,AR,-45.8667,-67.5,76.86,41,20,21.85,few clouds
271,Aykhal,RU,66.0,111.5,-8.3,50,42,1.32,scattered clouds
272,Nizhniy Tsasuchey,RU,50.5167,115.1333,-21.68,100,36,3.51,scattered clouds
273,Huarmey,PE,-10.0681,-78.1522,75.74,72,9,11.21,clear sky
274,Elat,IL,29.5581,34.9482,58.84,38,0,13.8,clear sky
275,Kelvington,CA,52.1667,-103.5343,13.66,90,100,12.97,overcast clouds
276,Vestmannaeyjar,IS,63.4427,-20.2734,33.8,74,99,29.39,overcast clouds
277,Dom Pedrito,BR,-30.9828,-54.6731,75.45,22,0,9.28,clear sky
278,Saldanha,ZA,-33.0117,17.9442,68.05,91,0,20.56,clear sky
279,Ishigaki,JP,24.3448,124.1572,64.53,94,75,16.11,broken clouds
280,Lesozavodsk,RU,45.4794,133.4244,-13.32,100,100,0.56,overcast clouds
281,Vila Velha,BR,-20.3297,-40.2925,78.75,92,75,13.8,thunderstorm
282,Riyadh,SA,24.6877,46.7219,51.94,31,0,8.59,clear sky
283,Mangrol,IN,21.1167,70.1167,66.04,61,0,11.41,clear sky
284,Erzin,TR,36.9559,36.2,47.12,78,51,2.37,broken clouds
