City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Muroto,JP,2022-02-12 23:54:06,33.2833,134.15,44.64,81,100,12.19
131,Cape Town,ZA,2022-02-12 23:50:49,-33.9258,18.4232,69.89,77,20,1.01
132,Dunnville,CA,2022-02-12 23:54:06,42.9001,-79.6163,23.34,74,100,12.68
133,Morristown,US,2022-02-12 23:51:45,36.214,-83.2949,47.5,59,100,6.91
134,Saldanha,ZA,2022-02-12 23:55:06,-33.0117,17.9442,66.25,91,79,15.52
135,Muncar,ID,2022-02-12 23:55:07,-8.4333,114.3333,76.48,90,100,4.29
136,Batagay-Alyta,RU,2022-02-12 23:55:07,67.8006,130.4114,-19.64,88,86,5.06
137,La Paz,BO,2022-02-12 23:50:40,-16.5,-68.15,49.98,81,75,10.36
138,Saint George,US,2022-02-12 23:55:07,37.1041,-113.5841,70.27,10,0,0.0
139,Flagstaff,US,2022-02-12 23:52:38,35.1981,-111.6513,59.79,15,0,4.61
140,Nuuk,GL,2022-02-12 23:55:08,64.1835,-51.7216,13.87,92,100,3.27
141,Katsina,NG,2022-02-12 23:55:08,12.9894,7.6006,64.6,13,3,11.1
142,Tezu,IN,2022-02-12 23:55:08,27.9167,96.1667,50.02,58,1,4.27
143,Dunedin,NZ,2022-02-12 23:54:41,-45.8742,170.5036,51.8,87,100,11.01
144,Lavrentiya,RU,2022-02-12 23:55:09,65.5833,-171.0,-10.57,91,11,7.18
145,Bengkulu,ID,2022-02-12 23:55:09,-3.8004,102.2655,76.12,82,96,3.98
146,Katsuura,JP,2022-02-12 23:55:09,35.1333,140.3,43.2,60,71,3.94
147,Balakovo,RU,2022-02-12 23:54:28,52.0278,47.8007,16.83,96,93,6.06
148,Grindavik,IS,2022-02-12 23:55:10,63.8424,-22.4338,21.67,73,0,3.44
149,Maarianhamina,AX,2022-02-12 23:55:10,60.0973,19.9348,35.46,80,75,12.66
150,Tiksi,RU,2022-02-12 23:55:10,71.6872,128.8694,-8.48,90,90,14.83
151,Margate,GB,2022-02-12 23:55:11,51.3813,1.3862,44.96,72,91,8.01
152,Ancud,CL,2022-02-12 23:55:11,-41.8697,-73.8203,69.33,83,49,1.34
153,Pakxe,LA,2022-02-12 23:50:57,15.1167,105.7833,72.55,84,61,2.17
154,Sigli,ID,2022-02-12 23:55:11,5.3848,95.9609,77.77,82,63,5.08
155,Acacias,CO,2022-02-12 23:50:27,3.987,-73.758,77.7,58,91,6.55
156,North Bend,US,2022-02-12 23:55:12,43.4065,-124.2243,68.92,70,0,5.75
157,Thompson,CA,2022-02-12 23:55:12,55.7435,-97.8558,-7.44,54,0,6.91
158,Almaznyy,RU,2022-02-12 23:55:12,48.0448,40.045,30.34,91,96,14.5
159,Port Alfred,ZA,2022-02-12 23:55:12,-33.5906,26.891,74.98,92,46,11.9
160,Fortuna,US,2022-02-12 23:55:13,40.5982,-124.1573,73.42,78,0,12.66
161,Remontnoye,RU,2022-02-12 23:55:13,46.5614,43.6501,34.21,91,100,20.65
162,Hasaki,JP,2022-02-12 23:55:13,35.7333,140.8333,37.8,60,47,7.02
163,Salalah,OM,2022-02-12 23:52:23,17.0151,54.0924,67.82,76,4,3.96
164,Victoria,HK,2022-02-12 23:55:14,22.2855,114.1577,65.17,90,100,8.99
165,Esperance,AU,2022-02-12 23:55:14,-33.8667,121.9,64.24,59,94,8.34
166,La Macarena,CO,2022-02-12 23:55:14,2.1837,-73.7849,78.53,58,66,2.39
167,Byron Bay,AU,2022-02-12 23:55:15,-28.65,153.6167,76.95,73,80,13.85
168,Sisimiut,GL,2022-02-12 23:55:15,66.9395,-53.6735,10.96,93,100,18.88
169,Bourail,NC,2022-02-12 23:55:15,-21.5667,165.4833,84.96,69,98,6.17
170,Zhigansk,RU,2022-02-12 23:55:16,66.7697,123.3711,-30.32,99,88,5.32
171,Beloha,MG,2022-02-12 23:55:16,-25.1667,45.05,73.42,85,6,14.94
172,New Norfolk,AU,2022-02-12 23:55:16,-42.7826,147.0587,72.91,42,97,4.47
173,Narsaq,GL,2022-02-12 23:55:17,60.9167,-46.05,28.62,96,100,9.48
174,Guerrero Negro,MX,2022-02-12 23:55:17,27.9769,-114.0611,75.02,29,100,8.08
175,Markala,ML,2022-02-12 23:55:17,13.7021,-6.0659,70.61,14,0,9.44
176,Alofi,NU,2022-02-12 23:50:31,-19.0595,-169.9187,85.89,70,32,11.5
177,Hualmay,PE,2022-02-12 23:50:43,-11.0964,-77.6139,71.71,77,53,7.18
178,Port-Cartier,CA,2022-02-12 23:55:17,50.0334,-66.8654,30.31,90,100,17.34
179,Cadillac,US,2022-02-12 23:50:55,44.2519,-85.4012,11.79,66,100,3.44
180,Alta Floresta,BR,2022-02-12 23:56:18,-9.8756,-56.0861,71.01,97,99,2.33
181,Taree,AU,2022-02-12 23:56:18,-31.9,152.4667,73.58,77,100,2.77
182,Portland,US,2022-02-12 23:56:18,45.5234,-122.6762,64.53,31,0,15.99
183,Coquimbo,CL,2022-02-12 23:56:19,-29.9533,-71.3436,67.73,77,20,10.36
184,Lewiston,US,2022-02-12 23:56:19,44.1003,-70.2148,46.22,58,38,8.61
185,La Serena,CL,2022-02-12 23:51:57,-29.9078,-71.2542,67.51,77,20,10.36
186,Bend,US,2022-02-12 23:56:19,44.0582,-121.3153,56.46,41,0,6.91
187,Pickerington,US,2022-02-12 23:56:20,39.8842,-82.7535,28.9,78,100,4.0
188,Buin,CL,2022-02-12 23:54:04,-33.7333,-70.75,84.42,43,10,4.85
189,Nome,US,2022-02-12 23:56:20,64.5011,-165.4064,-9.24,87,74,4.74
190,Aklavik,CA,2022-02-12 23:56:20,68.2191,-135.0107,-17.57,69,75,3.44
191,Iqaluit,CA,2022-02-12 23:56:20,63.7506,-68.5145,-24.07,62,100,3.44
192,Sinnamary,GF,2022-02-12 23:56:21,5.3833,-52.95,75.99,89,89,9.28
193,North Battleford,CA,2022-02-12 23:56:21,52.7834,-108.2847,6.89,72,0,9.22
194,Marzuq,YE,2022-02-12 23:56:21,14.4,46.4667,61.14,60,27,0.16
195,Isangel,VU,2022-02-12 23:52:47,-19.55,169.2667,86.11,79,75,4.61
196,Port Blair,IN,2022-02-12 23:56:21,11.6667,92.75,71.64,88,20,2.3
197,Guadalupe,MX,2022-02-12 23:53:36,25.6833,-100.25,66.34,43,22,13.85
198,Faanui,PF,2022-02-12 23:56:22,-16.4833,-151.75,80.91,74,83,11.7
199,Saskylakh,RU,2022-02-12 23:56:22,71.9167,114.0833,-5.64,76,63,8.72
200,Zapolyarnyy,RU,2022-02-12 23:56:22,69.4154,30.8136,-1.12,95,10,6.17
201,Cockburn Town,TC,2022-02-12 23:56:23,21.4612,-71.1419,77.47,78,0,19.6
202,Lebu,CL,2022-02-12 23:56:23,-37.6167,-73.65,59.36,86,52,9.08
203,Moose Factory,CA,2022-02-12 23:56:23,51.2585,-80.6094,-9.4,58,0,6.91
